depth,method,rmse,pearson,cluster_ari,cluster_nmi,marker_spearman,marker_top50_overlap,deg_top100_overlap,logfc_pearson,logfc_spearman,deg_direction_consistency,module_score_pearson
0.25,cvae,0.794,0.517,0.462,0.596,0.755,0.885,0.54,0.944,0.695,1.0,0.896
0.25,depthdiff,0.742,0.617,0.487,0.617,0.798,0.885,0.7,0.949,0.744,1.0,0.909
0.25,mlp,0.742,0.606,0.388,0.577,0.734,0.889,0.68,0.934,0.631,1.0,0.906
0.25,raw_low_depth,0.796,0.548,0.285,0.472,0.638,0.893,0.69,0.815,0.432,1.0,0.855
0.25,sae,0.8,0.506,0.448,0.593,0.752,0.87,0.53,0.943,0.701,1.0,0.894
0.5,cvae,0.756,0.579,0.459,0.631,0.764,0.916,0.53,0.945,0.7,1.0,0.928
0.5,depthdiff,0.606,0.764,0.495,0.659,0.852,0.947,0.85,0.968,0.814,1.0,0.946
0.5,mlp,0.609,0.754,0.573,0.703,0.754,0.916,0.68,0.945,0.669,1.0,0.944
0.5,raw_low_depth,0.636,0.739,0.415,0.611,0.697,0.924,0.71,0.829,0.475,1.0,0.921
0.5,sae,0.762,0.569,0.574,0.685,0.767,0.889,0.54,0.947,0.713,1.0,0.927
0.75,cvae,0.731,0.615,0.639,0.738,0.771,0.912,0.53,0.963,0.746,1.0,0.945
0.75,depthdiff,0.466,0.867,0.693,0.771,0.899,0.958,0.93,0.99,0.91,1.0,0.969
0.75,mlp,0.498,0.847,0.52,0.681,0.767,0.931,0.69,0.962,0.721,1.0,0.965
0.75,raw_low_depth,0.481,0.858,0.486,0.677,0.758,0.95,0.79,0.884,0.582,1.0,0.956
0.75,sae,0.737,0.606,0.623,0.722,0.773,0.893,0.58,0.963,0.754,1.0,0.945
