dataset,comparison,n_cells,mean_DepthDiff,mean_baseline,t,p_value,cohen_d
PBMC3K,DepthDiff vs Raw,1209,0.769,0.747,16.35,0.00e+00,0.47
PBMC3K,DepthDiff vs kNN,1209,0.769,0.532,48.01,0.00e+00,1.381
PBMC3K,DepthDiff vs AE,1209,0.769,0.55,43.62,0.00e+00,1.255
PBMC3K,DepthDiff vs cVAE,1209,0.769,0.552,43.33,0.00e+00,1.246
PBMC3K,DepthDiff vs MLP,1209,0.769,0.641,41.82,0.00e+00,1.203
PBMC68K,DepthDiff vs Raw,30165,0.759,0.727,114.65,0.00e+00,0.66
PBMC68K,DepthDiff vs kNN,30165,0.759,0.478,359.4,0.00e+00,2.069
PBMC68K,DepthDiff vs AE,30165,0.759,0.561,316.2,0.00e+00,1.821
PBMC68K,DepthDiff vs cVAE,30165,0.759,0.571,307.2,0.00e+00,1.769
PBMC68K,DepthDiff vs MLP,30165,0.759,0.743,122.22,0.00e+00,0.704
Pancreas,DepthDiff vs Raw,3825,0.88,0.86,47.14,0.00e+00,0.762
Pancreas,DepthDiff vs kNN,3825,0.88,0.744,74.75,0.00e+00,1.209
Pancreas,DepthDiff vs AE,3825,0.88,0.779,69.73,0.00e+00,1.127
Pancreas,DepthDiff vs cVAE,3825,0.88,0.783,68.64,0.00e+00,1.11
Pancreas,DepthDiff vs MLP,3825,0.88,0.859,29.53,0.00e+00,0.478
